price,bed,bath,sqft,type,yearbuilt,heating,cooling,area,parking_spaces,parking1,parking2,parking3
795000.0,,,10890.0,,,,,South Bay,,,,
4399999.0,5.0,4.0,3399.0,Single Family,2020.0,Other,Central,South Bay,,Attached Garage,,
1450000.0,,,24829.2,,,,,South Bay,,,,
90000.0,,,4926.0,,,,,South Bay,,,,
225000.0,,,5401.0,,,,,South Bay,,,,
350000.0,,,7448.0,,,,,South Bay,,,,
135000.0,,,66211.195,,,,,South Bay,,,,
2298888.0,4.0,3.0,3050.0,Single Family,1955.0,Forced air,,South Bay,2.0,,,
3499999.0,5.0,4.0,2998.0,Single Family,2020.0,Other,Central,South Bay,,Attached Garage,,
275000.0,,,6250.0,,,,,South Bay,,,,
888000.0,1.0,1.0,769.0,Condo,2019.0,Forced air,Central,South Bay,,,,
1054499.0,2.0,,,Condo,1992.0,,,South Bay,,Attached Garage,,
998000.0,1.0,1.0,940.0,Condo,2019.0,Forced air,Central,South Bay,,,,
1888000.0,,,5314.0,,,,,South Bay,,,,
600000.0,,,5793.0,,,,,South Bay,,,,
998000.0,2.0,2.0,1413.0,Condo,1997.0,Forced air,,South Bay,2.0,,,
1968000.0,5.0,,,Single Family,1990.0,Forced air,,South Bay,,Attached Garage,,
2080000.0,3.0,3.0,1700.0,Single Family,1928.0,Forced air,,South Bay,1.0,,,
5395000.0,6.0,7.0,5170.0,Single Family,1991.0,Forced air,,South Bay,,Attached Garage,,
7888000.0,6.0,7.0,6505.0,Single Family,1938.0,Forced air,Central,South Bay,,Attached Garage,,
2728858.0,4.0,,,Single Family,1920.0,Other,,South Bay,,Detached Garage,,
1942900.0,2.0,,,Single Family,1925.0,Other,,South Bay,,Detached Garage,,
1399500.0,2.0,1.0,1320.0,Single Family,1941.0,Forced air,,South Bay,,Attached Garage,,
3200000.0,5.0,2.0,2400.0,Single Family,1965.0,Forced air,,South Bay,,Attached Garage,,
5888000.0,6.0,8.0,6509.0,Single Family,1978.0,Forced air,,South Bay,,Attached Garage,,
6380000.0,6.0,8.0,7920.0,Single Family,2003.0,Other,Central,South Bay,3.0,,,
4880000.0,,,30056.4,,,,,South Bay,,,,
13880000.0,6.0,12.0,10510.0,Single Family,1896.0,Forced air,,South Bay,3.0,,,
6900000.0,4.0,5.0,3959.0,Single Family,2016.0,Forced air,Central,South Bay,,Attached Garage,,
3065797.0,3.0,,,Single Family,1954.0,Other,,South Bay,2.0,,,
6750000.0,5.0,5.0,4908.0,Single Family,1946.0,Forced air,,South Bay,,Attached Garage,,
