price,bed,bath,sqft,type,yearbuilt,parking,heating,cooling,area
"$795,000",0.25 acres,null,null,null,null,null,null,null,South Bay
"$4,399,999",5,4,"3,399",Single Family,2020,Attached Garage,Heat pump,Central,South Bay
"$1,450,000",0.57 acres,null,null,null,null,null,null,null,South Bay
"$90,000","4,926 sqft",null,null,null,null,null,null,null,South Bay
"$225,000","5,401 sqft",null,null,null,null,null,null,null,South Bay
"$350,000","7,448 sqft",null,null,null,null,null,null,null,South Bay
"$135,000",1.52 acres,null,null,null,null,null,null,null,South Bay
"$2,298,888",4,3,"3,050",Single Family,1955,2 spaces,Forced air,None,South Bay
"$3,499,999",5,4,"2,998",Single Family,2020,Attached Garage,Heat pump,Central,South Bay
"$275,000","6,250 sqft",null,null,null,null,null,null,null,South Bay
"$888,000",1,1,769,Condo,2019,No Data,Forced air,Central,South Bay
"$1,054,499",2,null,null,Condo,1992,Attached Garage,No Data,No Data,South Bay
"$998,000",1,1,940,Condo,2019,No Data,Forced air,Central,South Bay
"$1,888,000","5,314 sqft",null,null,null,null,null,null,null,South Bay
"$600,000","5,793 sqft",null,null,null,null,null,null,null,South Bay
"$998,000",2,2,"1,413",Condo,1997,2 spaces,Forced air,None,South Bay
"$1,968,000",5,null,null,Single Family,1990,Attached Garage,Forced air,None,South Bay
null,null,null,null,null,null,null,null,null,South Bay
"$2,080,000",3,3,"1,700",Single Family,1928,1 space,Forced air,None,South Bay
"$5,395,000",6,7,"5,170",Single Family,1991,Attached Garage,Forced air,None,South Bay
"$7,888,000",6,7,"6,505",Single Family,1938,Attached Garage,Forced air,Central,South Bay
"$2,728,858",4,null,null,Single Family,1920,Detached Garage,Other,No Data,South Bay
"$1,942,900",2,null,null,Single Family,1925,Detached Garage,Other,No Data,South Bay
"$1,399,500",2,1,"1,320",Single Family,1941,Attached Garage,Forced air,No Data,South Bay
"$3,200,000",5,2,"2,400",Single Family,1965,Attached Garage,Forced air,None,South Bay
"$5,888,000",6,8,"6,509",Single Family,1978,Attached Garage,Forced air,None,South Bay
"$6,380,000",6,8,"7,920",Single Family,2003,3 spaces,Radiant,Central,South Bay
"$4,880,000",0.69 acres,null,null,null,null,null,null,null,South Bay
"$13,880,000",6,12,"10,510",Single Family,1896,3 spaces,Forced air,None,South Bay
"$6,900,000",4,5,"3,959",Single Family,2016,Attached Garage,Forced air,Central,South Bay
"$3,065,797",3,null,null,Single Family,1954,2 spaces,Other,No Data,South Bay
"$6,750,000",5,5,"4,908",Single Family,1946,Attached Garage,Forced air,None,South Bay
"$1,995,000",4,null,null,Single Family,1945,Attached Garage,No Data,No Data,South Bay
"$5,888,888",5,5,"4,480",Single Family,1980,Attached Garage,"Forced air, Radiant",None,South Bay
"$4,846,847",4,null,null,Single Family,1965,Carport,Other,No Data,South Bay
"$4,295,000",4,4,"4,392",Single Family,1997,2 spaces,Forced air,Central,South Bay
"$2,998,000",4,3,"2,550",Single Family,1920,Attached Garage,Forced air,Central,South Bay
"$897,750",2,2,"1,052",Condo,1979,1 space,Electric,Central,South Bay
"$2,500,000",--,null,null,Multi Family,1927,2 spaces,Forced air,No Data,South Bay
"$2,888,000",4,3,"2,450",Single Family,1975,2 spaces,Forced air,None,South Bay
"$2,508,095",2,null,null,Multi Family,1937,Carport,Other,No Data,South Bay
"$3,150,000",3,4,"3,171",Single Family,1957,Attached Garage,Forced air,None,South Bay
"$3,529,999",5,5,"3,678",Single Family,1976,Attached Garage,Forced air,None,South Bay
"$5,650,000",5,6,"4,650",Single Family,1930,Detached Garage,Forced air,Central,South Bay
"$7,499,000",5,5,"5,762",Single Family,2019,1 space,Forced air,"Central, Wall",South Bay
"$5,875,000",5,6,"6,100",Single Family,1987,Attached Garage,Forced air,Central,South Bay
"$1,250,000",2,2,"1,147",Condo,2001,Attached Garage,Forced air,No Data,South Bay
"$16,888,000",3,8,"8,930",Single Family,1965,Attached Garage,Radiant,None,South Bay
"$1,367,923",2,2,"1,828",Condo,1977,Attached Garage,Electric,None,South Bay
"$1,350,000",2,3,"1,400",Townhouse,1982,Carport,Forced air,None,South Bay
"$9,490,000",8,8,"9,355",Single Family,1892,Attached Garage,Radiant,None,South Bay
"$1,153,864",1,null,null,Single Family,1920,Detached Garage,No Data,No Data,South Bay
"$6,900,000",5,7,"6,338",Single Family,1985,3 spaces,"Forced air, Radiant",None,South Bay
"$3,695,000",4,null,null,Single Family,2001,2 spaces,Forced air,Central,South Bay
"$5,100,000",5,7,"3,970",Single Family,1981,Attached Garage,Forced air,None,South Bay
"$3,150,574",4,null,null,Single Family,1940,2 spaces,Other,No Data,South Bay
"$8,300,000",1,1,1,Single Family,1950,Carport,Other,None,South Bay
